report_month,numerator_1m,denominator_1m,coef_1m,numerator_2m,denominator_2m,coef_2m,completed_projects_m1,completed_projects_m2_no1m,not_prolonged_1m_cnt
Январь 2023,2677021.61,5986766.86,0.4471564823888933,73380.0,545022.0,0.13463676695619625,53,12,30
Февраль 2023,1880945.0,3400075.5,0.5532068332012039,262620.0,2890042.76,0.09087062781036499,20,30,14
Март 2023,1108904.4000000001,1716452.77,0.646044225265808,122999.08,1540840.5,0.07982596511449433,25,14,13
Апрель 2023,1501923.35,3377742.1999999997,0.444653043681072,57940.0,627735.0,0.09230009478521987,33,13,17
Май 2023,2194460.75,3647436.5,0.6016446756509675,0.0,1796703.8,0.0,25,17,7
Июнь 2023,281673.28,1274625.53,0.22098512337188164,38632.5,1015068.5,0.038059007840357574,21,7,18
Июль 2023,1390411.0,2650982.85,0.5244888702316577,108285.0,1020325.53,0.10612789430055719,30,18,16
Август 2023,943678.88,1936915.83,0.48720696345385334,52315.0,1477499.85,0.03540778701263489,22,16,10
Сентябрь 2023,1086504.42,3113823.26,0.3489293801472856,0.0,755739.63,0.0,24,10,14
Октябрь 2023,3162695.19,3820835.8100000005,0.8277495677051874,82020.0,2054989.88,0.039912605311710835,38,14,17
Ноябрь 2023,811594.0,1567139.97,0.5178822667639573,21400.0,1130392.68,0.018931474326249177,19,17,9
Декабрь 2023,1325978.16,2434794.91,0.5445954213860255,114440.0,735957.5,0.1554981096055139,29,9,15
